f0 f8 ff aliceblue
fa eb d7 antiquewhite
00 ff ff aqua
7f ff d4 aquamarine
f0 ff ff azure
f5 f5 dc beige
ff e4 c4 bisque
00 00 00 black
ff eb cd blanchedalmond
00 00 ff blue
8a 2b e2 blueviolet
a5 2a 2a brown
de b8 87 burlywood
5f 9e a0 cadetblue
7f ff 00 chartreuse
d2 69 1e chocolate
ff 7f 50 coral
64 95 ed cornflowerblue
ff f8 dc cornsilk
dc 14 3c crimson
00 ff ff cyan
00 00 8b darkblue
00 8b 8b darkcyan
b8 86 0b darkgoldenrod
a9 a9 a9 darkgray
00 64 00 darkgreen
a9 a9 a9 darkgrey
bd b7 6b darkkhaki
8b 00 8b darkmagenta
55 6b 2f darkolivegreen
ff 8c 00 darkorange
99 32 cc darkorchid
8b 00 00 darkred
e9 96 7a darksalmon
8f bc 8f darkseagreen
48 3d 8b darkslateblue
2f 4f 4f darkslategray
2f 4f 4f darkslategrey
00 ce d1 darkturquoise
94 00 d3 darkviolet
ff 14 93 deeppink
00 bf ff deepskyblue
69 69 69 dimgray
69 69 69 dimgrey
1e 90 ff dodgerblue
b2 22 22 firebrick
ff fa f0 floralwhite
22 8b 22 forestgreen
ff 00 ff fuchsia
dc dc dc gainsboro
f8 f8 ff ghostwhite
ff d7 00 gold
da a5 20 goldenrod
80 80 80 gray
80 80 80 grey
00 80 00 green
ad ff 2f greenyellow
f0 ff f0 honeydew
ff 69 b4 hotpink
cd 5c 5c indianred
4b 00 82 indigo
ff ff f0 ivory
f0 e6 8c khaki
e6 e6 fa lavender
ff f0 f5 lavenderblush
7c fc 00 lawngreen
ff fa cd lemonchiffon
ad d8 e6 lightblue
f0 80 80 lightcoral
e0 ff ff lightcyan
fa fa d2 lightgoldenrodyellow
d3 d3 d3 lightgray
90 ee 90 lightgreen
d3 d3 d3 lightgrey
ff b6 c1 lightpink
ff a0 7a lightsalmon
20 b2 aa lightseagreen
87 ce fa lightskyblue
77 88 99 lightslategray
77 88 99 lightslategrey
b0 c4 de lightsteelblue
ff ff e0 lightyellow
00 ff 00 lime
32 cd 32 limegreen
fa f0 e6 linen
ff 00 ff magenta
80 00 00 maroon
66 cd aa mediumaquamarine
00 00 cd mediumblue
ba 55 d3 mediumorchid
93 70 db mediumpurple
3c b3 71 mediumseagreen
7b 68 ee mediumslateblue
00 fa 9a mediumspringgreen
48 d1 cc mediumturquoise
c7 15 85 mediumvioletred
19 19 70 midnightblue
f5 ff fa mintcream
ff e4 e1 mistyrose
ff e4 b5 moccasin
ff de ad navajowhite
00 00 80 navy
fd f5 e6 oldlace
80 80 00 olive
6b 8e 23 olivedrab
ff a5 00 orange
ff 45 00 orangered
da 70 d6 orchid
ee e8 aa palegoldenrod
98 fb 98 palegreen
af ee ee paleturquoise
db 70 93 palevioletred
ff ef d5 papayawhip
ff da b9 peachpuff
cd 85 3f peru
ff c0 cb pink
dd a0 dd plum
b0 e0 e6 powderblue
80 00 80 purple
ff 00 00 red
bc 8f 8f rosybrown
41 69 e1 royalblue
8b 45 13 saddlebrown
fa 80 72 salmon
f4 a4 60 sandybrown
2e 8b 57 seagreen
ff f5 ee seashell
a0 52 2d sienna
c0 c0 c0 silver
87 ce eb skyblue
6a 5a cd slateblue
70 80 90 slategray
70 80 90 slategrey
ff fa fa snow
00 ff 7f springgreen
46 82 b4 steelblue
d2 b4 8c tan
00 80 80 teal
d8 bf d8 thistle
ff 63 47 tomato
40 e0 d0 turquoise
ee 82 ee violet
f5 de b3 wheat
ff ff ff white
f5 f5 f5 whitesmoke
ff ff 00 yellow
9a cd 32 yellowgreen
